Shubman Gill,T Banton,13
T Banton,Shubman Gill,8
N Rana,Shubman Gill,9
Shubman Gill,N Rana,18
EJG Morgan,Shubman Gill,1
Shubman Gill,EJG Morgan,3
EJG Morgan,KD Karthik,6
KD Karthik,EJG Morgan,1
EJG Morgan,AD Russell,1
AD Russell,EJG Morgan,0
AD Russell,RA Tripathi,16
RA Tripathi,AD Russell,5
PJ Cummins,RA Tripathi,1
RA Tripathi,PJ Cummins,3
KL Nagarkoti,RA Tripathi,1
RA Tripathi,KL Nagarkoti,8
KL Nagarkoti,CV Varun,3
CV Varun,KL Nagarkoti,5
M Prasidh Krishna,CV Varun,2
CV Varun,M Prasidh Krishna,2
