DA Warner,DPMD Jayawardene,3
DPMD Jayawardene,DA Warner,14
DPMD Jayawardene,V Sehwag,2
V Sehwag,DPMD Jayawardene,1
LRPL Taylor,DPMD Jayawardene,24
DPMD Jayawardene,LRPL Taylor,23
DPMD Jayawardene,AD Russell,14
AD Russell,DPMD Jayawardene,16
NV Ojha,DPMD Jayawardene,7
DPMD Jayawardene,NV Ojha,2
DPMD Jayawardene,Y Venugopal Rao,0
Y Venugopal Rao,DPMD Jayawardene,10
Y Venugopal Rao,P Negi,0
P Negi,Y Venugopal Rao,0
Sunny Gupta,P Negi,0
P Negi,Sunny Gupta,8
P Negi,UT Yadav,0
UT Yadav,P Negi,1
P Negi,VR Aaron,0
VR Aaron,P Negi,0
